scan,symbol,date
52wkH,ASPI,2025-07-20
52wkH,PCT,2025-07-20
52wkH,RBLX,2025-07-20
52wkH,AMSC,2025-07-20
52wkH,COIN,2025-07-20
52wkH,FUTU,2025-07-20
52wkH,KTOS,2025-07-20
52wkH,LIF,2025-07-20
52wkH,SBSW,2025-07-20
52wkH,SYM,2025-07-20
52wkH,TPR,2025-07-20
52wkH,ATI,2025-07-20
52wkH,HWM,2025-07-20
52wkH,RCL,2025-07-20
52wkH,TLN,2025-07-20
52wkH,CCJ,2025-07-20
52wkH,IBKR,2025-07-20
52wkH,NEXT,2025-07-20
52wkH,AHR,2025-07-20
52wkH,APH,2025-07-20
52wkH,CRSP,2025-07-20
52wkH,WWD,2025-07-20
52wkH,FN,2025-07-20
52wkH,MTZ,2025-07-20
52wkH,NTES,2025-07-20
52wkH,VIK,2025-07-20
52wkH,C,2025-07-20
52wkH,CPNG,2025-07-20
52wkH,EADSY,2025-07-20
52wkH,LPLA,2025-07-20
52wkH,DLTR,2025-07-20
52wkH,EME,2025-07-20
52wkH,MRUS,2025-07-20
52wkH,FLUT,2025-07-20
52wkH,PWR,2025-07-20
52wkH,BK,2025-07-20
52wkH,LGND,2025-07-20
52wkH,BEPC,2025-07-20
52wkH,IVZ,2025-07-20
52wkH,GLXY,2025-07-20
52wkH,FHI,2025-07-20
52wkH,GOLF,2025-07-20
52wkH,TDY,2025-07-20
52wkH,ORA,2025-07-20
52wkH,SCHW,2025-07-20
52wkH,BANF,2025-07-20
52wkH,TDG,2025-07-20
52wkH,CWEN,2025-07-20
52wkH,WELL,2025-07-20
52wkH,FAST,2025-07-20
52wkH,RS,2025-07-20
52wkH,GLIBK,2025-07-20
90RS,AEVA,2025-07-20
90RS,AMPX,2025-07-20
90RS,BKSY,2025-07-20
90RS,CRWV,2025-07-20
90RS,GRRR,2025-07-20
90RS,HOOD,2025-07-20
90RS,LEU,2025-07-20
90RS,MP,2025-07-20
90RS,NUTX,2025-07-20
90RS,OUST,2025-07-20
90RS,PSIX,2025-07-20
90RS,QBTS,2025-07-20
90RS,QUBT,2025-07-20
90RS,RKLB,2025-07-20
90RS,SMR,2025-07-20
90RS,UMAC,2025-07-20
90RS,APLD,2025-07-20
90RS,ASPI,2025-07-20
90RS,ASTS,2025-07-20
90RS,COMM,2025-07-20
90RS,CRDO,2025-07-20
90RS,IREN,2025-07-20
90RS,NBIS,2025-07-20
90RS,PLTR,2025-07-20
90RS,RBLX,2025-07-20
90RS,RNMBY,2025-07-20
90RS,SGHC,2025-07-20
90RS,TSSI,2025-07-20
90RS,AAOI,2025-07-20
90RS,AMSC,2025-07-20
90RS,AS,2025-07-20
90RS,CLS,2025-07-20
90RS,COIN,2025-07-20
90RS,DCPH,2025-07-20
90RS,FUTU,2025-07-20
90RS,GOGO,2025-07-20
90RS,INOD,2025-07-20
90RS,LFMD,2025-07-20
90RS,LIF,2025-07-20
90RS,NET,2025-07-20
90RS,SOFI,2025-07-20
90RS,SYM,2025-07-20
90RS,VERV,2025-07-20
90RS,WLDN,2025-07-20
90RS,XIACY,2025-07-20
90RS,ADPT,2025-07-20
90RS,CVNA,2025-07-20
90RS,FIVE,2025-07-20
90RS,KRMN,2025-07-20
90RS,OLO,2025-07-20
90RS,ORLA,2025-07-20
90RS,SOUN,2025-07-20
90RS,TIGR,2025-07-20
90RS,UI,2025-07-20
90RS,UPST,2025-07-20
90RS,AFRM,2025-07-20
90RS,AGX,2025-07-20
90RS,CCJ,2025-07-20
90RS,IBKR,2025-07-20
90RS,LMND,2025-07-20
90RS,ODD,2025-07-20
90RS,RDDT,2025-07-20
90RS,ROOT,2025-07-20
